id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pe_over_history,pb_over_history,peg
498118,SPCQVCP,标普质量,2,15.6419,2.777,0.4224,0.3848,0.1775,0.0208,1765814400000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881120232,1765881120232,False,5,12-16,0.5776,0.6152,1.8252
498130,SZ399998,中证煤炭,3,16.15,1.5588,0.7888,0.804,0.0965,0.0603,1765814400000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1438012800000,1765881121195,1765881121195,True,5,12-16,0.2112,0.196,
498140,SH000903,中证100,1,16.9404,1.8277,0.9988,0.9784,0.1079,0.0281,1765814400000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122057,1765881122057,False,5,12-16,0.0012,0.0216,1.5249
498154,CSI931142,东证竞争,2,17.4583,3.0235,0.9424,0.9436,0.1732,0.0232,1765814400000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881123143,1765881123143,False,5,12-16,0.0576,0.0564,0.9832
498113,SPHCMSHP,香港中小,1,18.3898,1.4368,0.9534,0.7005,0.0781,0.0255,1765728000000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1765848721434,1765848721434,False,5,12-15,0.0466,0.2995,
498171,GDAXI,德国DAX,1,18.938,2.055,0.6204,0.9864,0.1085,0.0242,1765814400000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1441123200000,1765881124350,1765881124350,False,5,12-16,0.3796,0.0136,
498142,CSI930782,500低波,2,19.6695,1.6339,0.4658,0.7181,0.0831,0.0236,1765814400000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1765881122223,1765881122223,False,5,12-16,0.5342,0.2819,1.1213
498144,SZ399317,国证A指,1,20.7935,1.7468,0.8512,0.5232,0.084,0.0201,1765814400000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122370,1765881122370,False,5,12-16,0.1488,0.4768,1.356
498147,SZ399701,基本面60,2,21.2459,2.0416,0.7084,0.2728,0.0961,0.0262,1765814400000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122628,1765881122628,False,5,12-16,0.2916,0.7272,0.9344
498148,SZ399702,基本面120,2,22.0079,2.104,0.7856,0.352,0.0956,0.0242,1765814400000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122712,1765881122712,False,5,12-16,0.2144,0.648,0.9033
498116,HKHSSCNE,新经济,2,24.7101,3.4019,0.5402,0.7669,0.1377,0.0097,1765728000000,high,2,,0.05,1542729600000,1765848722000,1765848722000,False,5,12-15,0.4598,0.2331,
498123,SZ399330,深证100,1,24.8293,2.8682,0.7448,0.504,0.1155,0.0194,1765814400000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881120675,1765881120675,False,5,12-16,0.2552,0.496,1.0065
498103,SP500,标普500,1,29.0116,5.4846,0.8736,0.9864,0.189,0.011,1765728000000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1440345600000,1765848720112,1765848720112,False,5,12-15,0.1264,0.0136,1.9077
498150,SZ399001,深证成指,1,29.9535,2.631,0.764,0.4236,0.0878,0.0162,1765814400000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122860,1765881122860,False,5,12-16,0.236,0.5764,0.9489
498152,SZ399417,新能源车,3,31.4921,3.8839,0.484,0.5896,0.1233,0.0121,1765814400000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881123002,1765881123002,True,5,12-16,0.516,0.4104,0.8249
498121,SH000905,中证500,1,31.8569,2.1928,0.736,0.69,0.0688,0.0151,1765814400000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881120517,1765881120517,False,5,12-16,0.264,0.31,1.0783
498105,NDX,纳指100,1,35.579,9.9587,0.818,0.9748,0.2799,0.0049,1765728000000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1441036800000,1765848720313,1765848720313,False,5,12-15,0.182,0.0252,1.7658
498159,SZ399971,中证传媒,3,36.3613,2.4029,0.5356,0.346,0.0661,0.0185,1765814400000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881123482,1765881123482,False,5,12-16,0.4644,0.654,0.7506
498128,SH000827,中证环保,3,36.6897,2.6791,0.8452,0.4404,0.073,0.0157,1765814400000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121044,1765881121044,False,5,12-16,0.1548,0.5596,0.8444
498125,SZ399006,创业板,1,39.2591,5.2782,0.3528,0.59,0.1344,0.01,1765814400000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881120833,1765881120833,False,5,12-16,0.6472,0.41,1.0638
498170,935600,MSCI印度,1,39.554,5.3315,0.8888,0.8888,0.1348,0.0091,1765814400000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1469721600000,1765881124266,1765881124266,False,5,12-16,0.1112,0.1112,
498158,SZ399610,TMT50,3,41.9879,5.1297,0.6676,0.8548,0.1222,0.0085,1765814400000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1480867200000,1765881123393,1765881123393,False,5,12-16,0.3324,0.1452,0.8485
498124,SH000852,中证1000,1,43.8328,2.3455,0.6828,0.4144,0.0535,0.0115,1765814400000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881120763,1765881120763,False,5,12-16,0.3172,0.5856,1.1334
498166,CSI931079,5G通讯,3,46.5231,5.8501,0.933,0.9479,0.1257,0.007,1765814400000,high,2,,0.05,1556553600000,1765881124023,1765881124023,False,5,12-16,0.067,0.0521,0.879
498156,CSI931087,科技龙头,3,50.0711,5.8353,0.8073,0.6872,0.1165,0.0064,1765814400000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1765881123264,1765881123264,False,5,12-16,0.1927,0.3128,1.0467
498164,CSI930652,中证电子,3,56.07,5.2538,0.912,0.9436,0.0937,0.0065,1765814400000,high,2,,0.05,1441123200000,1765881123884,1765881123884,False,5,12-16,0.088,0.0564,1.0247
498137,SH000993,全指信息,3,63.7332,5.2261,0.7264,0.8916,0.082,0.0061,1765814400000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121825,1765881121825,False,5,12-16,0.2736,0.1084,1.0374
498131,SZ399967,中证军工,3,103.1089,3.5517,0.8044,0.6908,0.0344,0.0048,1765814400000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121266,1765881121266,True,5,12-16,0.1956,0.3092,1.1927
498167,SH000688,科创50,1,153.4276,5.8591,0.9613,0.6148,0.0382,0.0038,1765814400000,high,2,,0.05,1577721600000,1765881124077,1765881124077,False,5,12-16,0.0387,0.3852,2.0815
