id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,pb_over_history,pe_over_history,date
508093,SH000903,中证100,1,18.7566,1.8942,0.9996,0.9796,0.101,0.027,1778601600000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322222,1778668322222,0.9415,False,5,0.0204,0.0004,05-13
508107,CSI931142,东证竞争,2,20.9684,3.0919,0.952,0.9196,0.1475,0.0223,1778601600000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323445,1778668323445,0.701,False,5,0.0804,0.048,05-13
508083,SZ399998,中证煤炭,3,21.3714,1.7072,0.87,0.9272,0.0799,0.0483,1778601600000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1778668321358,1778668321358,0.8775,True,5,0.0728,0.13,05-13
508095,CSI930782,500低波,2,22.3417,1.8069,0.6934,0.756,0.0809,0.0212,1778601600000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1778668322377,1778668322377,0.8784,False,5,0.244,0.3066,05-13
508065,SPHCMSHP,香港中小,1,22.8415,1.5448,0.9908,0.7961,0.0676,0.0215,1778515200000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1778635921290,1778635921290,,False,5,0.2039,0.0092,05-12
508122,HKHSTECH,恒生科技,3,22.9429,2.617,0.3226,0.386,0.1141,0.0113,1778601600000,high,2,,0.05,1595779200000,1778668324582,1778668324582,,False,5,0.614,0.6774,05-13
508097,SZ399317,国证A指,1,24.1437,1.9456,0.9996,0.7756,0.0806,0.0173,1778601600000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322545,1778668322545,1.0138,False,5,0.2244,0.0004,05-13
508069,HKHSSCNE,新经济,2,24.9966,2.9295,0.5746,0.5304,0.1172,0.011,1778515200000,high,2,,0.05,1542729600000,1778635921960,1778635921960,,False,5,0.4696,0.4254,05-12
508101,SZ399702,基本面120,2,27.2317,2.2292,0.9944,0.58,0.0819,0.0228,1778601600000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322935,1778668322935,0.4831,False,5,0.42,0.0056,05-13
508100,SZ399701,基本面60,2,27.9533,2.1136,0.9968,0.424,0.0756,0.0255,1778601600000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322844,1778668322844,0.4726,False,5,0.576,0.0032,05-13
508057,SP500,标普500,1,29.0898,5.7295,0.8592,0.9988,0.197,0.0102,1778515200000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778635920213,1778635920213,1.9128,False,5,0.0012,0.1408,05-12
508105,SZ399417,新能源车,3,31.932,4.1743,0.5076,0.7,0.1307,0.0117,1778601600000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323233,1778668323233,0.6276,True,5,0.3,0.4924,05-13
508076,SZ399330,深证100,1,32.1899,3.2315,0.9812,0.76,0.1004,0.0174,1778601600000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320711,1778668320711,0.6111,False,5,0.24,0.0188,05-13
508123,935600,MSCI印度,1,34.0045,4.5835,0.7668,0.7668,0.1348,0.01,1778601600000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1477843200000,1778668324635,1778668324635,,False,5,0.2332,0.2332,05-13
508059,NDX,纳指100,1,36.2034,10.3444,0.8408,0.9948,0.2857,0.0043,1778515200000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778635920403,1778635920403,1.7968,False,5,0.0052,0.1592,05-12
508103,SZ399001,深证成指,1,37.8724,3.1194,0.9996,0.7384,0.0824,0.0137,1778601600000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323084,1778668323084,0.6031,False,5,0.2616,0.0004,05-13
508081,SH000827,中证环保,3,38.6713,3.05,0.9016,0.7576,0.0789,0.0145,1778601600000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321173,1778668321173,0.6322,False,5,0.2424,0.0984,05-13
508074,SH000905,中证500,1,38.8293,2.6837,0.88,0.8508,0.0691,0.0122,1778601600000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320542,1778668320542,0.8393,False,5,0.1492,0.12,05-13
