id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,date,pb_over_history,pe_over_history
507722,SP500,标普500,1,28.97,5.6978,0.854,0.9992,0.1967,0.0102,1778083200000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778203920219,1778203920219,1.9049,False,5,05-07,0.0008,0.146
507747,SZ399330,深证100,1,31.2281,3.1331,0.9616,0.7172,0.1003,0.018,1778169600000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320729,1778236320729,0.5878,False,5,05-08,0.2828,0.0384
507776,SZ399417,新能源车,3,32.0427,4.1879,0.5124,0.7028,0.1307,0.0116,1778169600000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236323350,1778236323350,0.6288,True,5,05-08,0.2972,0.4876
507794,935600,MSCI印度,1,35.9295,4.843,0.7944,0.7948,0.1348,0.0095,1778169600000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1477584000000,1778236324775,1778236324775,,False,5,05-08,0.2052,0.2056
507724,NDX,纳指100,1,35.9904,10.3175,0.828,0.9924,0.2867,0.0042,1778083200000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778203920404,1778203920404,1.7862,False,5,05-07,0.0076,0.172
507774,SZ399001,深证成指,1,36.8617,3.0261,0.9992,0.6724,0.0821,0.0141,1778169600000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236323196,1778236323196,0.5838,False,5,05-08,0.3276,0.0008
507745,SH000905,中证500,1,37.8237,2.6128,0.8728,0.8284,0.0691,0.0125,1778169600000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320548,1778236320548,0.8221,False,5,05-08,0.1716,0.1272
507752,SH000827,中证环保,3,38.1465,3.0061,0.882,0.7344,0.0788,0.0145,1778169600000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321133,1778236321133,0.6094,False,5,05-08,0.2656,0.118
507783,SZ399971,中证传媒,3,44.824,2.5404,0.7284,0.4544,0.0567,0.0173,1778169600000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236323886,1778236323886,1.0762,False,5,05-08,0.5456,0.2716
507749,SZ399006,创业板,1,45.9517,5.9703,0.5756,0.7072,0.1299,0.0092,1778169600000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320896,1778236320896,0.7095,False,5,05-08,0.2928,0.4244
507782,SZ399610,TMT50,3,48.8887,6.2604,0.9024,0.9908,0.1281,0.0067,1778169600000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1488816000000,1778236323799,1778236323799,0.6684,False,5,05-08,0.0092,0.0976
507780,CSI931087,科技龙头,3,52.2631,6.7782,0.8371,0.9058,0.1297,0.0051,1778169600000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1778236323648,1778236323648,0.9487,False,5,05-08,0.0942,0.1629
507790,CSI931079,5G通讯,3,54.6449,7.7072,0.9918,0.9982,0.141,0.0058,1778169600000,high,2,,0.05,1556553600000,1778236324479,1778236324479,0.5935,False,5,05-08,0.0018,0.0082
507748,SH000852,中证1000,1,56.7918,2.8337,0.8716,0.7272,0.0499,0.0092,1778169600000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236320803,1778236320803,0.9232,False,5,05-08,0.2728,0.1284
507788,CSI930652,中证电子,3,62.8161,6.3522,0.9676,0.9992,0.1011,0.0058,1778169600000,high,2,,0.05,1453132800000,1778236324299,1778236324299,0.899,False,5,05-08,0.0008,0.0324
507761,SH000993,全指信息,3,69.5945,6.2853,0.8448,0.9992,0.0903,0.0056,1778169600000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321905,1778236321905,0.9401,False,5,05-08,0.0008,0.1552
507755,SZ399967,中证军工,3,84.3618,4.138,0.7176,0.914,0.0491,0.004,1778169600000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321407,1778236321407,1.1506,True,5,05-08,0.086,0.2824
507791,SH000688,科创50,1,156.3624,7.2944,0.9089,0.8783,0.0467,0.003,1778169600000,high,2,,0.05,1577721600000,1778236324533,1778236324533,0.8128,False,5,05-08,0.1217,0.0911
