id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
505034,SPHCMSHP,香港中小,1,19.1803,1.3722,0.9691,0.612,0.0715,0.0251,1774800000000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1774920721069,1774920721069,False,5,03-30,0.388,0.0309,
505051,SZ399998,中证煤炭,3,20.9202,1.8126,0.8624,0.9864,0.0866,0.048,1774886400000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1446998400000,1774953121183,1774953121183,True,5,03-31,0.0136,0.1376,
505063,CSI930782,500低波,2,21.0725,1.7124,0.5781,0.7318,0.0813,0.0226,1774886400000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1774953122139,1774953122139,False,5,03-31,0.2682,0.4219,1.3785
505065,SZ399317,国证A指,1,21.727,1.7824,0.9476,0.5452,0.082,0.0188,1774886400000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122296,1774953122296,False,5,03-31,0.4548,0.0524,1.424
505068,SZ399701,基本面60,2,22.082,2.0102,0.8212,0.222,0.091,0.0264,1774886400000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122541,1774953122541,False,5,03-31,0.778,0.1788,1.1223
505069,SZ399702,基本面120,2,22.8277,2.1083,0.8724,0.3532,0.0924,0.024,1774886400000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122610,1774953122610,False,5,03-31,0.6468,0.1276,1.0072
505036,HKHSSCNE,新经济,2,23.9136,2.8477,0.479,0.4896,0.1191,0.0113,1774800000000,high,2,,0.05,1542729600000,1774920721532,1774920721532,False,5,03-30,0.5104,0.521,
505044,SZ399330,深证100,1,25.0226,2.8524,0.738,0.4692,0.114,0.0191,1774886400000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120638,1774953120638,False,5,03-31,0.5308,0.262,1.0892
505028,SP500,标普500,1,26.3198,4.971,0.7012,0.8728,0.1889,0.0119,1774800000000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1450022400000,1774920720133,1774920720133,False,5,03-30,0.1272,0.2988,1.7307
505029,NDX,纳指100,1,30.5843,8.5558,0.5288,0.7188,0.2797,0.0054,1774800000000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1450022400000,1774920720246,1774920720246,False,5,03-30,0.2812,0.4712,1.5179
505073,SZ399417,新能源车,3,31.4337,3.9637,0.4852,0.6196,0.1261,0.0105,1774886400000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122901,1774953122901,True,5,03-31,0.3804,0.5148,0.7583
505071,SZ399001,深证成指,1,31.6013,2.7264,0.8696,0.494,0.0863,0.0154,1774886400000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122752,1774953122752,False,5,03-31,0.506,0.1304,1.0404
505091,935600,MSCI印度,1,32.4401,4.3726,0.7392,0.7392,0.1348,0.0104,1774886400000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1475510400000,1774953124231,1774953124231,False,5,03-31,0.2608,0.2608,
505042,SH000905,中证500,1,34.595,2.3683,0.8392,0.7648,0.0685,0.0141,1774886400000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120494,1774953120494,False,5,03-31,0.2352,0.1608,1.2564
505049,SH000827,中证环保,3,37.2864,2.8554,0.8504,0.5604,0.0766,0.0139,1774886400000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121020,1774953121020,False,5,03-31,0.4396,0.1496,0.8674
